Plasmids	Term	Tmp	Mcp
DQ889678.1	1	4	0
DQ889677.1	1	4	0
U32369.1	0	4	0
NC_001705.1	0	2	0
X51366.1	0	0	0
DQ889676.1	2	14	7
CP024657.1	0	16	0
CP009965.1	0	0	0
CP009592.1	0	24	0
DQ360825.1	0	0	0
AE017195.1	2	9	3
CP001747.1	1	12	0
CP024658.1	0	4	0
CP024656.1	0	6	0
CP023180.1	0	0	0
CP009299.1	6	10	0
CP001285.1	1	4	0
AY129652.1	0	0	0
CP029457.1	31	25	12
CP023182.1	0	0	0
CP020940.1	2	22	0
CP001179.1	2	14	7
CP001166.1	3	13	7
CP009970.1	0	0	0
CP009969.1	0	0	0
CP009639.1	8	26	2
CP009317.1	1	26	0
CP001406.1	1	13	0
CP000228.1	5	9	1
ABDM02000062.1	4	11	1
ABDM02000063.1	4	19	0
ABDM02000065.1	24	8	2
NC_016773.1	0	0	0
CP012485.1	0	2	0
CP012484.1	0	0	0
CP027921.1	28	26	2
CP046513.1	2	6	0
CP029456.1	2	6	0
CP018742.1	0	35	0
CP016361.1	0	6	4
CP016317.1	4	10	5
CP001180.1	0	2	0
CP009634.1	0	0	0
CP003748.1	3	3	1
CP000044.1	0	0	0
CP000043.1	0	0	0
CP000041.1	0	0	0
CP001748.1	1	6	0
CP011154.1	12	29	2
CP011152.1	12	29	2
JPYN01000057.1	0	0	0
ABDM02000064.1	0	7	0
ABDM02000066.1	0	1	0
NC_004721.2	0	0	1
NC_005707.1	2	9	4
CP012486.1	2	10	0
NZ_CP027923.1	0	5	0
NZ_CP027922.1	0	2	0
NZ_CP028015.1	0	0	0
NZ_CP028014.1	0	5	0
NZ_CP028013.1	0	2	0
CP028015.1	0	0	0
CP028014.1	0	10	0
CP028013.1	0	4	0
CP027923.1	0	10	0
CP027922.1	0	4	0
NZ_CP029457.1	16	17	6
NZ_CP029456.1	1	3	0
NZ_CP029455.1	14	75	3
CP029455.1	33	151	6
PHQW02000015.1	0	18	2
CP023246.1	10	56	6
CP023181.1	0	2	0
CP018741.1	5	8	0
CP016596.1	0	10	0
NC_007107.1	0	0	0
NC_007106.1	0	0	0
NC_007105.1	0	2	0
NC_007104.1	0	0	0
NC_007103.1	6	20	3
AP007214.1	0	1	0
AP007213.1	0	1	0
AP007212.1	0	2	0
AP007211.1	24	48	4
AP007210.1	2	13	7
CP001181.1	0	1	0
CP001171.1	0	1	0
CP001170.1	1	7	1
CP001169.1	0	5	0
CP001168.1	0	1	0
CP001167.1	0	0	0
CP009604.1	0	0	0
CP009637.1	27	16	4
CP009636.1	8	38	0
CP003751.1	0	1	0
CP003749.1	0	5	0
CP003189.1	0	0	0
CP000042.1	0	1	0
CP000040.1	5	21	3
AE016878.2	0	0	1
CP000229.1	28	66	2
CP001188.1	1	8	0
CP001187.1	1	9	0
CP001286.1	0	0	0
CP001284.1	0	1	0
LYVD01000041.1	0	0	0
LYVD01000047.1	4	33	2
CP015730.1	4	12	0
CP015729.1	0	2	0
CP009593.1	0	0	0
NC_025012.1	0	0	0
JPYN01000058.1	0	5	0
ABCZ02000101.1	0	0	0
ABCZ02000102.1	0	0	0
FR675941.1	0	1	1
ABDA02000035.1	6	20	4
AB083655.3	0	0	0
AAEK01000036.1	0	11	0
AAEK01000038.1	0	1	0
NZ_CP042875.1	3	21	2
GQ404376.1	0	0	0
NZ_CP034552.1	0	0	1
NZ_CP012486.1	1	5	0
NZ_CP012485.1	0	1	0
NZ_CP012484.1	0	0	0
NZ_CP015592.1	0	18	5
NZ_CP015591.1	1	0	0
NZ_CP015590.1	0	2	0
NZ_CP023246.1	5	28	3
NC_016794.1	17	3	4
NC_016780.1	0	0	0
NC_016792.1	2	14	8
NC_016772.1	24	51	4
NC_016793.1	0	1	0
NC_016774.1	0	1	0
NZ_CP014487.1	16	16	2
NZ_CP009595.1	3	13	3
NZ_CP009594.1	20	64	2
NZ_CP009593.1	0	0	0
NZ_CP009606.1	3	13	3
NZ_CP009604.1	0	0	0
NZ_CP009603.1	20	60	1
NZ_CP009640.1	0	7	0
NZ_CP009639.1	4	13	1
NZ_CP009638.1	23	46	3
NZ_CP009637.1	24	8	2
NZ_CP009636.1	4	19	0
NZ_CP009635.1	0	0	0
NZ_CP009634.1	0	0	0
NZ_CP009592.1	0	12	0
NZ_CP009591.1	0	15	1
NZ_CP009368.1	1	20	2
NZ_CP009589.1	21	50	2
NZ_CP009970.1	0	0	0
NZ_CP009969.1	0	0	0
NZ_CP009299.1	3	5	0
NZ_CP009967.1	6	21	3
NZ_CP009966.1	0	2	0
NZ_CP009965.1	0	0	0
NZ_CP009627.1	1	0	0
NZ_CP009317.1	0	13	0
NZ_CP009940.1	0	15	1
NZ_CP009939.1	21	50	2
NZ_CP027927.1	0	0	0
NZ_CP027926.1	0	0	0
NZ_CP027925.1	0	0	0
NZ_CP027924.1	0	4	0
NZ_CP027921.1	14	13	1
NZ_CP028017.1	0	1	0
NZ_CP028016.1	0	0	0
NZ_CP028011.1	0	1	0
NZ_CP028010.1	4	6	0
CP028017.1	0	2	0
CP028016.1	0	0	0
CP028011.1	0	2	0
CP028010.1	8	12	0
CP027927.1	0	0	0
CP027926.1	0	0	0
CP027925.1	0	0	0
CP027924.1	0	8	0
NZ_PHQW02000016.1	1	3	1
NZ_PHQW02000015.1	0	9	1
NZ_CP024658.1	0	2	0
NZ_CP024657.1	0	8	0
NZ_CP024656.1	0	3	0
NZ_CP022448.1	0	1	0
NZ_CP022447.1	0	0	0
NZ_CP022446.1	10	17	2
NZ_CP023183.1	0	0	0
NZ_CP023182.1	0	0	0
NZ_CP023181.1	0	1	0
NZ_CP023180.1	0	0	0
NZ_CP018742.1	0	18	0
NZ_CP018741.1	3	4	0
NZ_CP016363.1	0	0	0
NZ_CP016362.1	0	0	0
NZ_CP016361.1	0	3	2
NZ_CP016597.1	20	53	6
NZ_CP016596.1	0	5	0
NZ_CP016317.1	2	5	3
NZ_CP040343.1	4	13	0
NZ_CP040335.1	63	59	9
NZ_CP045610.2	0	0	0
NZ_CP045609.2	0	0	0
NZ_CP045608.2	1	1	0
NZ_CP045607.2	32	19	3
NZ_CP040341.1	2	8	0
NZ_CP020941.1	0	7	0
NZ_CP020940.1	1	11	0
NZ_CP020939.1	24	47	2
NZ_CP020938.1	16	31	18
NC_012473.1	0	13	0
NC_011777.1	1	4	0
NC_011776.1	0	1	0
NC_011775.1	2	9	0
NC_011774.1	1	8	0
NC_011771.1	0	0	0
NC_011655.1	2	14	8
NC_011657.1	0	1	0
NC_011656.1	0	2	0
NC_011654.1	0	9	0
CP046512.1	3	11	1
NZ_CP018936.1	0	11	0
NZ_CP018932.1	0	12	0
NZ_CP018934.1	0	11	0
NZ_CP011154.1	6	16	1
NZ_CP011152.1	6	16	1
NZ_CP011157.1	1	4	1
NZ_CP011156.1	3	12	1
NZ_CP011146.1	64	10	1
NC_018494.1	0	1	0
NC_018499.1	1	0	0
NC_018492.1	3	4	2
NC_018493.1	0	5	0
CP045610.2	0	0	0
CP045609.2	0	0	0
CP045608.2	2	2	0
CP045607.2	64	38	6
NZ_CP026679.1	0	4	1
NZ_CP015730.1	2	6	0
NZ_CP015729.1	0	1	0
NZ_CP015728.1	17	24	7
NC_014331.1	0	12	0
NC_014332.1	1	6	0
NC_014333.1	6	39	0
NC_011973.1	5	9	1
NC_011971.1	28	66	2
NZ_CP042928.1	2	8	0
CP042876.1	0	3	0
CP042875.1	6	42	4
NZ_LOJQ01000131.1	1	9	0
NZ_LOJQ01000130.1	0	0	0
NZ_LOJQ01000128.1	0	2	0
NZ_LOJQ01000126.1	2	0	0
NZ_LOJQ01000118.1	0	0	0
NZ_LOJQ01000116.1	0	0	0
NZ_LOJQ01000115.1	0	0	0
NZ_MUBB01000067.1	0	0	0
NZ_MUBB01000061.1	0	0	0
NZ_MUBB01000060.1	0	0	0
NZ_MUBB01000049.1	0	0	0
NZ_MUBB01000044.1	0	0	0
NZ_MUBB01000041.1	0	0	0
NZ_MUBB01000033.1	0	0	0
NZ_MUBB01000028.1	0	12	0
NZ_MSMO01000007.1	0	11	0
NZ_LYVD01000054.1	0	0	0
NZ_LYVD01000053.1	0	0	0
NZ_LYVD01000052.1	0	0	0
NZ_LYVD01000051.1	1	0	0
NZ_LYVD01000050.1	0	0	0
NZ_LYVD01000049.1	0	0	0
NZ_LYVD01000048.1	0	1	0
NZ_LYVD01000047.1	2	17	1
NZ_LYVD01000046.1	0	0	0
NZ_LYVD01000045.1	0	1	0
NZ_LYVD01000044.1	0	0	0
NZ_LYVD01000043.1	0	0	0
NZ_LYVD01000042.1	0	1	0
NZ_LYVD01000041.1	0	0	0
NZ_LYVD01000040.1	0	0	0
NZ_LYVD01000039.1	0	0	0
NZ_LYVD01000038.1	0	0	0
NZ_LYVD01000037.1	0	0	0
NZ_LYVD01000036.1	0	0	0
NZ_LYVD01000035.1	0	1	0
NZ_LYVD01000034.1	0	0	0
NZ_LYVD01000033.1	0	0	0
NZ_LYVD01000032.1	0	0	0
NZ_LYVD01000031.1	1	2	0
NZ_LYVD01000030.1	0	0	0
NZ_LYVD01000029.1	0	0	0
NZ_LYVD01000028.1	0	0	0
NZ_LYVD01000027.1	0	0	0
NZ_LYVD01000026.1	17	6	0
NZ_LYVD01000025.1	0	0	0
NZ_LYVD01000024.1	0	0	0
NZ_ABDA02000037.1	0	0	0
NZ_ABDA02000036.1	0	0	0
NZ_ABDA02000035.1	4	10	2
CP034552.1	0	0	2
MG891800.1	0	0	0
PHQW02000016.1	2	6	2
CP026679.1	0	8	2
CP023183.1	0	0	0
CP016363.1	0	0	0
CP016362.1	0	0	0
CP016597.1	40	106	12
CP020941.1	0	14	0
CP020939.1	48	94	4
CP020938.1	32	62	36
CP014487.1	32	32	4
CP001178.1	0	2	0
CP009606.1	6	26	5
CP009603.1	40	106	2
CP009967.1	12	42	6
CP009966.1	0	4	0
CP009640.1	0	14	0
CP009638.1	46	92	6
CP009635.1	0	0	0
CP009627.1	2	0	0
CP009591.1	0	30	2
CP009589.1	42	99	4
CP009368.1	2	48	4
CP009940.1	0	31	2
CP009939.1	42	99	4
CP003750.1	1	0	0
CP003188.1	20	46	6
JN112796.1	0	0	0
JN112795.1	0	0	0
CP001749.1	6	39	0
GU324768.1	0	0	0
GQ118149.1	0	0	0
LYVD01000024.1	0	0	0
LYVD01000025.1	0	0	0
LYVD01000026.1	18	12	0
LYVD01000027.1	0	0	0
LYVD01000028.1	0	0	0
LYVD01000029.1	0	0	0
LYVD01000030.1	0	0	0
LYVD01000031.1	2	4	0
LYVD01000032.1	0	0	0
LYVD01000033.1	0	0	0
LYVD01000034.1	0	0	0
LYVD01000035.1	0	2	0
LYVD01000036.1	0	0	0
LYVD01000037.1	0	0	0
LYVD01000038.1	0	0	0
LYVD01000039.1	0	0	0
LYVD01000040.1	0	0	0
LYVD01000042.1	0	2	0
LYVD01000043.1	0	0	0
LYVD01000044.1	0	0	0
LYVD01000045.1	0	2	0
LYVD01000046.1	0	0	0
LYVD01000048.1	0	2	1
LYVD01000049.1	0	0	0
LYVD01000050.1	0	0	0
LYVD01000051.1	3	0	0
LYVD01000052.1	0	0	0
LYVD01000053.1	0	0	0
LYVD01000054.1	0	0	0
CP015728.1	37	106	14
CP011157.1	2	8	2
CP011156.1	7	22	1
CP011146.1	155	20	2
CP009595.1	6	26	5
CP009594.1	40	126	3
NC_014757.1	0	1	1
NC_010924.1	2	14	7
JPYN01000061.1	0	0	0
JPYN01000062.1	0	0	0
JPYN01000063.1	0	0	0
JPYN01000064.1	1	0	0
JPYN01000065.1	0	1	0
JPYN01000066.1	0	0	0
JPYN01000067.1	0	5	0
AAEK01000004.1	2	16	1
ABCZ02000100.1	20	46	3
ABDK02000071.1	20	45	6
ABDA02000036.1	0	0	0
ABDA02000037.1	0	0	0
Y17748.1	0	0	0
AAEK01000020.1	0	0	0
Y17749.1	0	0	0
Y17741.1	0	0	0
GQ184724.1	0	0	0
Y09024.1	0	0	0
AJ277277.1	0	0	0
